,hoax,valid
11,0.00011951379769353526,0.0003338439412171189
11-12,0.00011951379769353526,0.0001955177433027344
110,0.00011951379769353526,0.0001955177433027344
111,0.00011951379769353526,0.0001955177433027344
112,0.00011951379769353526,0.0001955177433027344
113,0.00011951379769353526,0.00022494609601206116
116,0.00011951379769353526,0.00024216057880501314
117,0.00011951379769353526,0.00024216057880501314
118,0.00011951379769353526,0.0001955177433027344
119,0.00011951379769353526,0.0001955177433027344
12,0.00029605016849892197,0.00033991945045638036
12-18,0.00011951379769353526,0.0001955177433027344
120,0.00011951379769353526,0.00022494609601206116
121,0.00011951379769353526,0.0001955177433027344
123,0.00011951379769353526,0.0001955177433027344
1237,0.0002390275953870705,9.77588716513672e-05
124,0.00011951379769353526,0.00022494609601206116
125,0.00011951379769353526,0.00024216057880501314
126,0.00011951379769353526,0.00025437444872138793
127,0.00011951379769353526,0.0001955177433027344
128,0.00011951379769353526,0.00025437444872138793
129,0.00011951379769353526,0.00024216057880501314
13,0.00029605016849892197,0.00033217878118681524
13-16,0.00011951379769353526,0.00022494609601206116
130,0.00011951379769353526,0.00022494609601206116
131,0.00011951379769353526,0.0001955177433027344
13120,0.0002390275953870705,9.77588716513672e-05
132,0.00011951379769353526,0.00025437444872138793
133,0.00011951379769353526,0.00024216057880501314
134,0.00011951379769353526,0.0001955177433027344
135,0.00011951379769353526,0.0001955177433027344
136,0.00011951379769353526,0.00022494609601206116
137,0.00011951379769353526,0.0001955177433027344
138,0.00011951379769353526,0.0001955177433027344
138-143,0.00011951379769353526,0.0001955177433027344
139,0.00011951379769353526,0.00024216057880501314
14,0.0003890499796122442,0.00033991945045638036
14-15,0.00011951379769353526,0.0001955177433027344
140,0.00011951379769353526,0.0001955177433027344
1400,0.0002390275953870705,9.77588716513672e-05
141,0.00011951379769353526,0.0001955177433027344
142,0.00011951379769353526,0.00024216057880501314
143,0.00011951379769353526,0.00022494609601206116
144,0.00011951379769353526,0.00022494609601206116
1441,0.0002390275953870705,9.77588716513672e-05
145,0.00011951379769353526,0.00022494609601206116
146,0.00011951379769353526,0.00025437444872138793
147,0.00011951379769353526,0.00022494609601206116
148,0.00011951379769353526,0.0001955177433027344
15,0.0003320274065003928,0.0003338439412171189
150,0.00029605016849892197,0.0002638482622447748
15000,0.00027500483338854136,9.77588716513672e-05
154,0.00011951379769353526,0.0001955177433027344
155,0.00011951379769353526,0.0001955177433027344
158,0.00011951379769353526,0.00024216057880501314
16,0.00035307274161077334,0.00031580504148131627
163,0.00011951379769353526,0.0001955177433027344
164,0.0002390275953870705,0.0002638482622447748
166,0.00011951379769353526,0.0001955177433027344
167,0.00011951379769353526,0.0001955177433027344
168,0.0002390275953870705,0.0001955177433027344
169,0.00011951379769353526,0.0001955177433027344
17,0.00029605016849892197,0.00031580504148131627
170,0.0002390275953870705,9.77588716513672e-05
173,0.00011951379769353526,0.00024216057880501314
177,0.00011951379769353526,0.0001955177433027344
179,0.00011951379769353526,0.00022494609601206116
18,0.00034695930939148306,0.00031823176701661866
18-55,0.00011951379769353526,0.0001955177433027344
18-59,0.00011951379769353526,0.0001955177433027344
181,0.0002390275953870705,9.77588716513672e-05
182,0.00011951379769353526,0.0001955177433027344
184,0.00011951379769353526,0.0001955177433027344
185,0.00011951379769353526,0.0002638482622447748
186,0.00011951379769353526,0.0001955177433027344
1869,0.0002390275953870705,9.77588716513672e-05
187,0.00011951379769353526,0.0001955177433027344
188,0.00011951379769353526,0.0001955177433027344
19,0.00041891378539442477,0.0003488233743692525
19-21,0.00011951379769353526,0.0001955177433027344
190,0.00011951379769353526,0.00022494609601206116
190-193,0.0002390275953870705,9.77588716513672e-05
191,0.00011951379769353526,0.0001955177433027344
1919,0.00027500483338854136,9.77588716513672e-05
193,0.00011951379769353526,0.0001955177433027344
1948,0.0002390275953870705,9.77588716513672e-05
195,0.00011951379769353526,0.00024216057880501314
196,0.00011951379769353526,0.0001955177433027344
1962,0.0002390275953870705,9.77588716513672e-05
1965,0.0002390275953870705,9.77588716513672e-05
198,0.00011951379769353526,0.0001955177433027344
1981,0.0002390275953870705,9.77588716513672e-05
199,0.00011951379769353526,0.00022494609601206116
1990,0.0002390275953870705,9.77588716513672e-05
1991,0.00011951379769353526,0.00025437444872138793
1999,0.00011951379769353526,0.0001955177433027344
1kg,0.0002390275953870705,9.77588716513672e-05
1x,0.0002390275953870705,9.77588716513672e-05
2,0.0003890499796122442,0.0003758924457806773
2-3,0.0002390275953870705,9.77588716513672e-05
2-stars,0.00029605016849892197,9.77588716513672e-05
